Date,Time,Cosmic Radiation,Temperature,Barometric Pressure,Relative Humidity
1/10/2016,3:05:00,7897,23.43,1022.32,56
1/10/2016,3:10:00,8101,23.43,1022.27,56.06
1/10/2016,3:15:00,8105,23.44,1022.23,56.1
1/10/2016,3:20:00,8038,23.43,1022.14,56.13
1/10/2016,3:25:00,8006,23.44,1022.05,56.13
1/10/2016,3:30:00,7925,23.44,1022.04,56.16
1/10/2016,3:35:00,8034,23.46,1022.04,56.19
1/10/2016,3:40:00,8117,23.45,1021.95,56.2
1/10/2016,3:45:00,8064,23.46,1021.99,56.24
1/10/2016,3:50:00,8078,23.45,1021.91,56.27
1/10/2016,3:55:00,8053,23.47,1021.95,56.29
1/10/2016,4:00:00,8010,23.47,1021.96,56.3
1/10/2016,4:05:00,8240,23.48,1021.97,56.39
1/10/2016,4:10:00,8042,23.49,1021.93,56.45
1/10/2016,4:15:00,7904,23.49,1021.95,56.49
1/10/2016,4:20:00,7936,23.48,1021.85,56.47
1/10/2016,4:25:00,8139,23.49,1021.79,56.47
1/10/2016,4:30:00,8061,23.49,1021.77,56.52
1/10/2016,4:35:00,8022,23.49,1021.77,56.52
1/10/2016,4:40:00,8218,23.49,1021.64,56.52
1/10/2016,4:45:00,7955,23.49,1021.69,56.56
1/10/2016,4:50:00,7926,23.5,1021.68,56.59
1/10/2016,4:55:00,8015,23.5,1021.77,56.62
1/10/2016,5:00:00,8169,23.51,1021.66,56.63
1/10/2016,5:05:00,7962,23.49,1021.58,56.65
1/10/2016,5:10:00,8014,23.5,1021.65,56.67
1/10/2016,5:15:00,8153,23.51,1021.61,56.68
1/10/2016,5:20:00,8019,23.51,1021.56,56.69
1/10/2016,5:25:00,7903,23.51,1021.59,56.71
1/10/2016,5:30:00,7903,23.5,1021.54,56.74
1/10/2016,5:35:00,8018,23.51,1021.6,56.75
1/10/2016,5:40:00,8261,23.51,1021.55,56.79
1/10/2016,5:45:00,7892,23.52,1021.56,56.86
1/10/2016,5:50:00,8184,23.53,1021.5,56.88
1/10/2016,5:55:00,8033,23.52,1021.5,56.85
1/10/2016,6:00:00,8122,23.52,1021.46,56.84
1/10/2016,6:05:00,8118,23.53,1021.45,56.88
1/10/2016,6:10:00,8044,23.52,1021.41,56.91
1/10/2016,6:15:00,8082,23.52,1021.33,56.95
1/10/2016,6:20:00,8024,23.52,1021.23,56.97
1/10/2016,6:25:00,7960,23.52,1021.12,56.98
1/10/2016,6:30:00,7991,23.52,1021.11,57
1/10/2016,6:35:00,8230,23.53,1021.13,57
1/10/2016,6:40:00,8057,23.53,1021,57.05
1/10/2016,6:45:00,8029,23.53,1020.92,57.03
1/10/2016,6:50:00,7970,23.54,1020.94,57.07
1/10/2016,6:55:00,7993,23.54,1020.89,57.08
1/10/2016,7:00:00,8001,23.54,1020.86,57.09
1/10/2016,7:05:00,7943,23.54,1020.8,57.11
1/10/2016,7:10:00,7946,23.54,1020.8,57.14
1/10/2016,7:15:00,8020,23.54,1020.84,57.13
1/10/2016,7:20:00,8026,23.55,1020.73,57.21
1/10/2016,7:25:00,7968,23.55,1020.86,57.27
1/10/2016,7:30:00,8086,23.56,1020.82,57.27
1/10/2016,7:35:00,7974,23.56,1020.77,57.25
1/10/2016,7:40:00,8033,23.55,1020.69,57.29
1/10/2016,7:45:00,8089,23.56,1020.61,57.28
1/10/2016,7:50:00,8124,23.56,1020.61,57.3
1/10/2016,7:55:00,7869,23.55,1020.51,57.34
1/10/2016,8:00:00,8101,23.55,1020.49,57.35
1/10/2016,8:05:00,8126,23.56,1020.5,57.38
1/10/2016,8:10:00,7909,23.56,1020.44,57.34
1/10/2016,8:15:00,7936,23.56,1020.48,57.39
1/10/2016,8:20:00,8101,23.57,1020.42,57.4
1/10/2016,8:25:00,8044,23.56,1020.41,57.42
1/10/2016,8:30:00,7971,23.57,1020.48,57.43
1/10/2016,8:35:00,8051,23.57,1020.54,57.46
1/10/2016,8:40:00,8133,23.58,1020.59,57.49
1/10/2016,8:45:00,7917,23.57,1020.62,57.53
1/10/2016,8:50:00,7950,23.57,1020.57,57.54
1/10/2016,8:55:00,7962,23.58,1020.57,57.55
1/10/2016,9:00:00,7961,23.59,1020.67,57.65
1/10/2016,9:05:00,8018,23.58,1020.76,57.68
1/10/2016,9:10:00,7902,23.59,1020.72,57.69
1/10/2016,9:15:00,8089,23.59,1020.63,57.67
1/10/2016,9:20:00,8017,23.59,1020.59,57.68
1/10/2016,9:25:00,8138,23.58,1020.62,57.69
1/10/2016,9:30:00,8201,23.58,1020.6,57.71
1/10/2016,9:35:00,8189,23.6,1020.68,57.67
1/10/2016,9:40:00,7797,23.6,1020.62,57.69
1/10/2016,9:45:00,8083,23.6,1020.8,57.73
1/10/2016,9:50:00,8007,23.62,1021.01,57.7
1/10/2016,9:55:00,8045,23.6,1020.95,57.76
1/10/2016,10:00:00,7912,23.6,1020.98,57.75
1/10/2016,10:05:00,8185,23.61,1020.91,57.75
1/10/2016,10:10:00,7800,23.6,1020.78,57.78
1/10/2016,10:15:00,7888,23.61,1020.65,57.79
1/10/2016,10:20:00,8193,23.6,1020.62,57.78
1/10/2016,10:25:00,8083,23.6,1020.63,57.82
1/10/2016,10:30:00,8013,23.6,1020.65,57.83
1/10/2016,10:35:00,7994,23.61,1020.59,57.81
1/10/2016,10:40:00,8026,23.62,1020.59,57.87
1/10/2016,10:45:00,8103,23.62,1020.64,57.88
1/10/2016,10:50:00,7942,23.62,1020.65,57.87
1/10/2016,10:55:00,8131,23.6,1020.73,57.89
1/10/2016,11:00:00,8078,23.62,1020.69,57.85
1/10/2016,11:05:00,7986,23.62,1020.61,57.87
1/10/2016,11:10:00,7934,23.62,1020.58,57.86
1/10/2016,11:15:00,7943,23.62,1020.66,57.87
1/10/2016,11:20:00,8058,23.62,1020.81,57.88
1/10/2016,11:25:00,8062,23.63,1020.88,57.88
1/10/2016,11:30:00,8197,23.63,1020.84,57.9
1/10/2016,11:35:00,7846,23.63,1021.07,57.93
1/10/2016,11:40:00,8044,23.64,1021.16,57.9
1/10/2016,11:45:00,8034,23.63,1021.11,57.94
1/10/2016,11:50:00,7908,23.63,1021.12,57.99
1/10/2016,11:55:00,8029,23.63,1021.16,58.05
1/10/2016,12:00:00,7988,23.64,1021.25,58.04
1/10/2016,12:05:00,8188,23.64,1021.15,58.05
1/10/2016,12:10:00,8039,23.65,1021.24,58.07
1/10/2016,12:15:00,8046,23.66,1021.23,58.12
1/10/2016,12:20:00,8184,23.65,1021.19,58.19
1/10/2016,12:25:00,8033,23.65,1021.23,58.19
1/10/2016,12:30:00,7823,23.65,1021.23,58.17
1/10/2016,12:35:00,7915,23.65,1021.18,58.18
1/10/2016,12:40:00,7952,23.66,1021.22,58.19
1/10/2016,12:45:00,7993,23.66,1021.2,58.2
1/10/2016,12:50:00,8212,23.66,1021.19,58.25
1/10/2016,12:55:00,8010,23.67,1021.22,58.24
1/10/2016,13:00:00,7986,23.68,1021.3,58.21
1/10/2016,13:05:00,7945,23.69,1021.32,58.17
1/10/2016,13:10:00,8153,23.69,1021.38,58.23
1/10/2016,13:15:00,8067,23.7,1021.44,58.23
1/10/2016,13:20:00,8074,23.7,1021.39,58.22
1/10/2016,13:25:00,8044,23.72,1021.43,58.19
1/10/2016,13:30:00,8013,23.7,1021.32,58.23
1/10/2016,13:35:00,8228,23.7,1021.36,58.25
1/10/2016,13:40:00,8083,23.71,1021.28,58.27
1/10/2016,13:45:00,7922,23.72,1021.2,58.33
1/10/2016,13:50:00,7989,23.72,1021.07,58.44
1/10/2016,13:55:00,7970,23.72,1021.07,58.51
1/10/2016,14:00:00,8075,23.72,1021.04,58.46
1/10/2016,14:05:00,7946,23.73,1021.03,58.4
1/10/2016,14:10:00,8155,23.74,1021.07,58.39
1/10/2016,14:15:00,8092,23.75,1021.02,58.39
1/10/2016,14:20:00,7944,23.75,1020.99,58.37
1/10/2016,14:25:00,8006,23.76,1020.94,58.4
1/10/2016,14:30:00,8008,23.76,1020.94,58.43
1/10/2016,14:35:00,8315,23.77,1020.81,58.36
1/10/2016,14:40:00,8046,23.78,1020.78,58.36
1/10/2016,14:45:00,8046,23.78,1020.79,58.35
1/10/2016,14:50:00,7974,23.78,1020.81,58.4
1/10/2016,14:55:00,7960,23.8,1020.88,58.38
1/10/2016,15:00:00,8135,23.79,1020.89,58.44
1/10/2016,15:05:00,8219,23.81,1020.96,58.49
1/10/2016,15:10:00,7972,23.8,1020.9,58.49
1/10/2016,15:15:00,8027,23.81,1020.87,58.49
1/10/2016,15:20:00,8067,23.81,1020.9,58.52
1/10/2016,15:25:00,8028,23.8,1020.84,58.55
1/10/2016,15:30:00,8265,23.81,1020.93,58.65
1/10/2016,15:35:00,8190,23.82,1020.96,58.78
1/10/2016,15:40:00,8136,23.82,1020.95,58.81
1/10/2016,15:45:00,8034,23.83,1020.87,58.71
1/10/2016,15:50:00,8106,23.83,1020.77,58.72
1/10/2016,15:55:00,8017,23.84,1020.68,58.72
1/10/2016,16:00:00,8109,23.84,1020.56,58.72
1/10/2016,16:05:00,8025,23.85,1020.53,58.72
1/10/2016,16:10:00,7886,23.86,1020.67,58.74
1/10/2016,16:15:00,8131,23.87,1020.65,58.69
1/10/2016,16:20:00,8099,23.87,1020.62,58.75
1/10/2016,16:25:00,8153,23.87,1020.65,58.77
1/10/2016,16:30:00,7946,23.88,1020.72,58.79
1/10/2016,16:35:00,8243,23.88,1020.66,58.78
1/10/2016,16:40:00,8259,23.89,1020.58,58.81
1/10/2016,16:45:00,8008,23.9,1020.51,58.81
1/10/2016,16:50:00,8144,23.9,1020.44,58.86
1/10/2016,16:55:00,8026,23.9,1020.28,58.87
1/10/2016,17:00:00,8219,23.89,1020.14,58.9
1/10/2016,17:05:00,8157,23.91,1020.08,58.91
1/10/2016,17:10:00,8082,23.92,1020.01,58.87
1/10/2016,17:15:00,8023,23.92,1019.87,58.98
1/10/2016,17:20:00,8072,23.92,1019.96,59.01
1/10/2016,17:25:00,7995,23.92,1019.94,59.11
1/10/2016,17:30:00,8057,23.93,1019.86,58.99
1/10/2016,17:35:00,7974,23.94,1019.85,58.98
1/10/2016,17:40:00,8218,23.93,1019.85,59
1/10/2016,17:45:00,8009,23.94,1019.76,59.01
1/10/2016,17:50:00,8048,23.94,1019.78,58.98
1/10/2016,17:55:00,8100,23.94,1019.76,58.99
1/10/2016,18:00:00,8102,23.95,1019.74,58.97
1/10/2016,18:05:00,7968,23.97,1019.78,58.97
1/10/2016,18:10:00,8040,23.96,1019.76,58.99
1/10/2016,18:15:00,8232,23.97,1019.81,58.95
1/10/2016,18:20:00,8127,23.97,1019.79,58.95
1/10/2016,18:25:00,8139,23.98,1019.74,58.97
1/10/2016,18:30:00,8178,23.98,1019.75,58.97
1/10/2016,18:35:00,8209,23.99,1019.79,58.95
1/10/2016,18:40:00,8102,23.98,1019.82,58.95
1/10/2016,18:45:00,8099,23.99,1019.85,58.93
1/10/2016,18:50:00,8197,24,1019.87,58.91
1/10/2016,18:55:00,8254,23.99,1019.75,58.95
1/10/2016,19:00:00,8021,23.99,1019.78,59
1/10/2016,19:05:00,8160,24,1019.78,59.03
1/10/2016,19:10:00,8080,24.01,1019.77,59.08
1/10/2016,19:15:00,8181,24.01,1019.77,59.08
1/10/2016,19:20:00,8000,24.01,1019.87,59.05
1/10/2016,19:25:00,8000,24.02,1019.94,59.01
1/10/2016,19:30:00,7944,24.01,1019.85,59.03
1/10/2016,19:35:00,7979,24.01,1019.81,59
1/10/2016,19:40:00,8180,24.03,1019.87,58.94
1/10/2016,19:45:00,8042,24.02,1019.86,58.99
1/10/2016,19:50:00,8109,24.01,1019.66,58.98
1/10/2016,19:55:00,8190,24.02,1019.65,58.97
1/10/2016,20:00:00,8081,24.02,1019.61,58.93
1/10/2016,20:05:00,8016,24.01,1019.6,58.91
1/10/2016,20:10:00,7961,24.02,1019.54,58.89
1/10/2016,20:15:00,8248,24.01,1019.48,58.9
1/10/2016,20:20:00,7965,24.02,1019.46,58.87
1/10/2016,20:25:00,8154,24.03,1019.45,58.84
1/10/2016,20:30:00,7853,24.02,1019.36,58.86
1/10/2016,20:35:00,8123,24.02,1019.34,58.86
1/10/2016,20:40:00,8080,24.02,1019.22,58.83
1/10/2016,20:45:00,8114,24.03,1019.2,58.81
1/10/2016,20:50:00,8073,24.03,1019.05,58.83
1/10/2016,20:55:00,8064,24.02,1018.94,58.8
1/10/2016,21:00:00,8081,24.03,1018.94,58.79
1/10/2016,21:05:00,7910,24.03,1018.96,58.77
1/10/2016,21:10:00,8007,24.04,1018.96,58.75
1/10/2016,21:15:00,8145,24.03,1018.93,58.76
1/10/2016,21:20:00,8136,24.03,1019.02,58.73
1/10/2016,21:25:00,8090,24.04,1019.13,58.73
1/10/2016,21:30:00,7962,24.05,1019.09,58.71
1/10/2016,21:35:00,8010,24.04,1019.08,58.69
1/10/2016,21:40:00,8164,24.04,1019.11,58.68
1/10/2016,21:45:00,8016,24.04,1019.01,58.68
1/10/2016,21:50:00,7973,24.05,1019.04,58.65
1/10/2016,21:55:00,8148,24.05,1018.94,58.64
1/10/2016,22:00:00,8008,24.05,1018.94,58.61
1/10/2016,22:05:00,7966,24.05,1019.01,58.61
1/10/2016,22:10:00,8104,24.05,1019.01,58.56
1/10/2016,22:15:00,7927,24.05,1019.09,58.54
1/10/2016,22:20:00,8044,24.05,1019.25,58.55
1/10/2016,22:25:00,8015,24.05,1019.36,58.51
1/10/2016,22:30:00,8110,24.06,1019.3,58.45
1/10/2016,22:35:00,7895,24.05,1018.86,58.4
1/10/2016,22:40:00,8133,24.04,1018.85,58.39
1/10/2016,22:45:00,8102,24.05,1018.97,58.38
1/10/2016,22:50:00,8046,24.03,1018.92,58.36
1/10/2016,22:55:00,8090,24.04,1019.23,58.33
1/10/2016,23:00:00,7998,24.04,1019.1,58.29
1/10/2016,23:05:00,8018,24.04,1018.63,58.25
1/10/2016,23:10:00,8060,24.04,1018.64,58.21
1/10/2016,23:15:00,8111,24.05,1018.66,58.17
1/10/2016,23:20:00,8151,24.05,1018.82,58.17
1/10/2016,23:25:00,8010,24.05,1019.01,58.13
1/10/2016,23:30:00,8053,24.05,1019.2,58.11
1/10/2016,23:35:00,8045,24.05,1019.04,58.06
1/10/2016,23:40:00,8053,24.05,1019.21,58
1/10/2016,23:45:00,8132,24.05,1019.16,57.97
1/10/2016,23:50:00,8118,24.05,1019.43,57.92
1/10/2016,23:55:00,7966,24.05,1019.41,57.89
1/10/2016,0:00:00,7948,24.05,1019.36,57.87
